data,label
"Вакансия: Technical Lead
Компания: Haulmont
Формат работы: full time 
Локация: Удаленно
ЗП: от 140 000 до 250 000
Custom Solutions — подразделение компании Haulmont, которое разрабатывает на заказ корпоративные бизнес-приложения. Для заказчиков Haulmont - технологический партнер. Нашим Java-фреймворком CUBA пользуются тысячи разработчиков по всему миру.
Мы уже реализовали десятки проектов в России, Европе, США и Южной Америке. Будем рады открыть новые страны и континенты вместе!
Задачи:
✅ Проектирование и реализация на Java различных модулей разрабатываемых решений.
✅ Руководство командой.
✅ Разработка архитектуры системы.
✅ Проектирование баз данных.
✅ Code review.
✅ Настройка Continuous Integration.
✅ Исследовательская и проектная работа.

Навыки:
✅ Опыт работы в ИТ-компаниях не менее 3 лет.
✅ Отличное знание: ООП, Java SE/EE, Databases.
✅ Исполнительность и ответственность.

Преимуществом будет:
✅ Опыт управления командой разработчиков.
✅ Глубокое знание Spring Framework.
✅ Понимание многопоточного и конкурентного программирование в Java.
✅ Знания и навыки web-разработки (Servlets, Spring Web MVC, HTML, CSS, JavaScript, Angular/React/Vue).
✅ Опыт работы с Git, Gradle, Teamcity.
✅ Знание английского языка на уровне Intermediate или выше, разговорные навыки.

Мы предлагаем:
🍬Компенсации на лечение/спорт.
🍬Гибкий график.
🍬Курсы и практика английского языка.
🍬Конкурентная зарплата.
🍬Трудоустройство по ТК РФ
Контакты: o.chikalova@haulmont.com
@olhachykalova
+79967299604",Java-разработчик
"#вакансия #qa #job #Москва #fulltime #senior

Вакансия: QA Engineer (SDET)
Компания: МТС Финтех
Заработная плата: от 180000р
Требуемый опыт работы: от 2 лет
График работы: fulltime
Место работы: офис, г. Москва (гибкий офис), другие регионы - удаленка.

👾 МЫ ФИНТЕХ – ЧАСТЬ ЭКОСИСТЕМЫ МТС 👾

Наша IT-команда МТС Банка быстро растет, и внутри мы продолжаем делать по-настоящему крутые проекты! Сейчас мы активно работаем в парадигме гибких методологий (Agile, Scrum, Kanban и вот это все), строим DevOps и запускаем обновленный Мобильный и Интернет-банкинг.
В связи с динамичным развитием мы нуждаемся в талантливых специалистах, чтобы укомплектовать наши текущие команды и сформировать новые, успешно реализовать обширный scope задач и вывести наш Банк на лидирующие позиции среди современных Digital компаний.

Вам предстоит:
• Создавать авто-тесты и фреймворк для тестирования;
• Анализировать требования и результаты авто-тестов;
• Подготавливать тестовые данные;
• Искать, документировать и сопровождать ошибки в баг-трекере;
• Вручную проверять разработанный функционал, где автоматизация нерациональна.

Основной стек:
• Backend - Golang, Java
• Среды - Docker в k8s кластере
• CI - Teamcity
• Базы данных - Postgres, Oracle
• Testing - Python (Pytest)
• Observability – Grafana, Kibana, Jaeger    
• Streaming – Kafka

Мы ожидаем:
• Опыт работы с python и pytest;
• Понимание принципов HTTP/REST, опыт тестирования API;
• Опыт работы с СУБД, SQL на уровне простых запросов;
• Работал с CI/СD;
• Опыт работы с Docker/Kubernetes;
• Опыт работы с Protobuf/GRPC;
• Опыт работы в командной строке Linux-подобных операционных системах;
• Опыт анализа логов и метрик приложений

Работа у нас - это:
• Высокий уровень оклада + премии за достижение KPI’s
• Оформление строго по ТК РФ
• ДМС после 3-х месяцев работы
• Корпоративный тариф связи «для своих»
• Корпоративный спорт, конференции, meetup’s…
• Возможность прямого взаимодействия с МТС Big Data
• Возможность изменить график работы
• Быстро развивающаяся Agile культура!

📨 Вопросы и резюме: @q7ark",QA-Инженер
Словила кайф😅😆,0
Removed msg from AlexanderMaximovs. Reason: forwarded messages disabled.,0
"Добрый день! возможно разместить резюме? #Job #vacancy #datascientist #moscow #работа

So, it's time to update the requirements!
RnD Company working in High-Frequency Trading area, looking for Data Scientist.

Еsponsibilities:
Data collection and preparation;
Design of end-to-end analytical solutions (predictive and prescriptive modeling); Algorithm development and optimization;
Data visualization.

Qualifications:
Strong mathematical background (probability theory and mathematical statistics);
Experience in machine learning (boosting, neural networks);
Strong communication skills;
Strong programming skills (any language);
Strong understanding and hands on experience of supervised and unsupervised Machine Learning techniques;
Advanced level of prototyping of ML techniques; Proficiency in data visualization and reporting tools.

Conditions:
Dynamic innovative company;
Professional and career development;
Flexible working schedule;
Salary is discussed individually, as a matter of experience the candidate.

From 150к net.
Write in telegrams @MaksimNord",Data Scientist
"#вакансия

Название компании: Quberten sports design studio (quberten.ru)
Формат работы: офис
Город и адрес офиса: Москва, метро Дмитровская (Flacon)
Занятость: полная
Зарплатная вилка: от 70 т.р. до 90 т.р. (net)
Контакты: job@quberten.ru
Описание вакансии: 
Мы — студия спортивного дизайна Quberten, разрабатываем айдентику для клубов и организаций по всему миру. Классных проектов становится всё больше, поэтому мы ищем проджект-менеджера способного закрыть всю бровку и качественно отработать в защите. 

Что необходимо будет делать? 
— коммуницировать с клиентами (от входящей заявки до закрывающих актов);
— контролировать сроки всего проекта и ставить дедлайны дизайнерам;
— внимательно и аккуратно работать с документами и подрядчиками студии;
— ставить ясные и понятные задачи коллегам;
— быть въедливым перфекционистом, который не упустит ни малейшей детали;
— аргументированно отстаивать интересы студии, но при этом осознавать бизнес-задачи клиента. 

Наш будущий проджект-менеджер: 
— обладает грамотным русским языком (как письменным, так и устным);
— любит спорт и отлично в нем разбирается (специальные знания о спортивном дизайне не требуются, мы всему научим);
— имеет опыт ведения проектов от 1 года (идеально, если спортивные или киберспортивные);
— готов развиваться вместе со студией и менять лицо мирового спорта к лучшему. 

Процесс отбора кандидата: 
1. Резюме и тестовое задание (при условии, что резюме нам понравилось);
2. Официальное оформление по итогам собеседования с испытательным сроком 2 месяца.",Product-менеджер
"CTO
в EEOO.live — это веб-платформа (streaming&conferencing), позволяющая зрителям концерта взаимодействовать с артистами в реальном времени благодаря обратной видео/аудио связи.
Условия: кофаундер с долей 50% (- 1 акция) с вестингом на 5 лет.
Москва.
Рекомендует Олег Чирухин, его пост.

Больше вакансий для ТОПов:
Telegram @forchiefs
Facebook https://is.gd/PBsg6U
LinkedIn https://is.gd/hZvA0i",non-IT
а форма где?,0
"Head of product
(в перспективе CPO)
в Wachanga — сервис развивающих заданий для детей.
Подробнее о компании https://is.gd/l9Ctgy
Ищет Максим Колпаков, его пост https://is.gd/ma2us5
#product #headofproduct #вакансия",non-IT
"Руководитель направления автотестирования (Java)
в S8 Capital — многопрофильный российский холдинг, объединяющий предприятия в финансовом и телекоммуникационном секторах, в области электронной коммерции, цифровых медиа и ритейла и обладающий уникальными отраслевыми компетенциями, которые позволяют разрабатывать и успешно внедрять инновационные продукты.
Москва.
Описание вакансии.
Откликаться на GeekJob.ru",QA-Инженер
"◉

Fintelect в поисках методолога образовательных проектов (обучение взрослых)
Рассматриваем на проектную занятость вне штата, но для долгосрочного сотрудничества

Детали: docs.google.com/document/d/1ad9gp59oDHpeiTuqO5fj6oR8N85iew26jglYh-0C7dw/edit?usp=sharing

Контакт: n.mostsipan@fintelect.com",non-IT
"Стажер в Сбербанк Технологии

teletype.in/@yojob/SJ_UUJvsB

Отзывы о компании Сбербанк Технологии, этапы отбора и зарплаты на сайте Your Career: bit.ly/yc_sbertech",0
"Ещё круче будет, тот кто умеет делать продукты помогающие найти 100 рублей кастомерам",0
"В дочерней компании ПАО «МТС» – «МТС Информационные технологии» открыта вакансия Java-разработчика 🔥

Обязанности:
- Разработка систем с использованием языка Java;
- Участие в проектировании систем, выбор технологий разработки;
- Участие в оформлении проектной и программной документации;
- Разработка по методологии Scrum/Kanban (в том числе требуются навыки системного анализа поступаемых требований для разработки и выработки проектных технических решений);

Требования:
- Высшее техническое образование;
- Опыт использования : Java SE, Java EE, JDBC и SQL;
- Опыт участия в коммерческих проектах;
- Иметь общее представление о jQuery, HTML/CSS, JavaScript;
- Работа с инструментами и библиотеками для Unit тестирования;

Условия работы:
- График работы: 5-ти дневка по 8 часов, пятница- сокращенный день;
- Стабильная белая зарплата, премии;
- Здоровье своих сотрудников - ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж;
- Спорт - корпоративные соревнования по футболу, баскетболу и волейболу, различные спорт-программы или компенсация вашего фитнес-абонемента (фитнес-клуб расположен на первом этаже офиса);
- Отпуск 28 календарных дней + 3 календарных дня дополнительно ежегодно, а также различные скидки на путешествия от наших партнеров;
- Офис: Санкт-Петербург(!), ст.м. пл. Ленина, пр-т Кондратьевский, БЦ ""Фернан Леже"".

У нас много интересных проектов! Скучно не будет!  
📩 Резюме и рекомендации ждем на почту - aakulab1@mts.ru и в телеграмм +7 921 093 63 35",Java-разработчик
"1C-RarusTechDay 2021 - техническая конференция специалистов 1С.

Пройдёт 22 июля в онлайне. Участие бесплатное. 

Выступают разработчики, тестировщики, специалисты по БД и производительности 1С, руководители проектов и отделов 1С-Рарус. 
Все доклады на основе реальных кейсов. Будут полезны для расширения кругозора, получения новых знаний, понимания, как работает ""внутренняя кухня"" 1С-Рарус.
 
Регистрация и вопросы организаторам: http://bit.ly/1C-RTD2021-r1-invite",0
"#Вакансия #Москва #Удаленно


Вакансия: QA auto Java  (middle/senior/lead)
Компания: М.Видео-Эльдорадо
Локация: Удаленно (также можно работать из офиса в Москве)
Зарплата: от 150 000 до 270 000 net

«М.Видео-Эльдорадо» начали внедрять микросервисный подход в 2016 году в частной облачной среде для быстрой интеграции фронт-офисных систем с бэк-офисом. На данный момент, в архитектуре разработаны и действуют около 60 сервисов.
Команда микросервисной платформы, составляющая около 50 сотрудников ( разработчики, аналитики, автотестировщики, devops инженеры), ищет специалиста по автоматизированному тестированию.

Чем предстоит заниматься:

-Разработка автоматизированных тестов;
-Код ревью автоматизированных тестов, разработанных коллегами;
-Анализ и исправление ошибок в работе автоматизированных тестов;
-Подготовка технической документации по разработанным тестам;
-Анализ кода и консультации системных аналитиков/разработчиков по специфике работы автоматизированных тестов.

Наши пожелания к успешному кандидату:

-Опыт написания автотестов на бекенд более 1 года;
-Опыт работы с SQL более 1 года (на уровне запросов, соединений, группировок, а также создания, удаления, редактирования таблиц);
-Опыт работы с SOAP и/или REST более 1 года;
-Опыт разработки автотестов с ипользованием Java, Maven, JUnit более 1 года;.
-Знание *nix-подобных систем на уровне работы из консоли(ssh);
-Представление о багтрекинговых системах (Jira, HP QC, Redmine);
-Понимание клиент серверной архитектуры приложения;
-Понимание подхода BDD.

За подробностями пишите в личку @vo1obuev, спасибо!:)",QA-Инженер
"Привет👋, @MarinaNavo!
Спасибо что опубликовали вашу вакансию в нашей группе!
Мы ценим вас, поэтому мы создали бота,
который упростит вам поиск кандидата.
Нажмите на START, а мы опубликуем вашу вакансию во все наших соц сетях и каналах!",0
"Ищу Java Team Lead к нам в Тинькофф ⚡️

Ключевая цель сейчас — распил монолита и переход на микросервисную архитектуру. Проект уже в стадии перехода, ищем скиллового лида, годового кодить самостоятельно на 50-60% обязанностей

Локация: возможна полная удаленка либо в офисе одного из 12 городов страны
Вилка: 200-300к net
Команда: 4 аналитика, 4 фронта, 6 бэков, 4 QA 
Стек: Java 11, Spring (Data/Web/Boot/Security), Hibernate, PostgreSQL, Maven, Gradle, TeamCity, Git.

Задачи: 
— составлять вместе с командой план действий на ближайший период и контролировать его выполнение;
— проводить ретроспективы и менять процесс разработки вместе с командой;
— собирать и доносить обратную связь, проводить встречи 1х1, работать над ИПР сотрудников, согласуя потребности проекта и людей;
— самостоятельно разрабатывать микросервисы на базе SpringBoot;
— предлагать и реализовывать архитектурные решения с учетом развития системы, предвидеть проблемы, валидировать решения разработчиков. 

Ждём: 
— аналогичного опыта на позиции Лида или же схожие задачи в том или ином масштабе на Senior;
— готовы рассматривать без опыта руководства командой, но с отличными техническими навыками.

Плюхи:
— расширенный ДМС, корпоративные тарифы на наши продукты и все бенефиты большой компании;
— после ежегодного ревью: годовой бонус 1-3 оклада + индексация + рассматриваем повышение зп.

С вопросами и резюме в личку: @dszinchenko",Java-разработчик
"Директор по развитию бизнеса (M&A) в Газпром нефть (Санкт-Петербург)

Эксперту в этой должности предложат заняться выстраиванием отношений компании с российскими и международными нефтегазовыми партнерами. 

Новый сотрудник также примет непосредственное участие в формировании стратегии управления портфелем активов Компании. 

Наличие степени MBA — дополнительное преимущество. 

Подробнее по ссылке

#нефть #uppermiddle #санктпетербург #Газпромнефть",non-IT
"#itjobs #fulltime #ruby #rubydeveloper #rubyjob


Быстрорастущий стартап со стабильным финансированием ищет Technical Lead
Чем занимается стартап?
Строит экосистему, а именно, единую онлайн-платформу, которая объединяет три ключевых бизнес-направления:
⠀
✔ EdTech (образование)
⠀
✔ HRTech (управление персоналом)
⠀
✔ Freelance (самозанятость)
 
Обязанности:
📌 Лидировать технически разработку продукта, который создает команда
📌 Принимать архитектурные решения и уметь их обосновать
📌 Способствовать техническому развитию команды

Требования:
📌 Ruby 4-5 лет, Go, Python
📌 RPC;
📌 PostgreSQL/Elsticsearch/MongoDB/Redis

Условия:
Оклад 300 000 на руки
📌 KPI обсуждается на интервью
📌 Возможность посещать профильные мероприятия за счёт компании
📌 Оформление по ТК;
📌 ДМС после испытательного срока;
📌 Комфортный рабочий график, удобные таймслоты на выбор: с 9 до 18, с 10 до 19 или с 11 до 20;•
📌 Возможна частичная удаленка

Откликнуться в телеграмм @katerina_topassistant",Ruby-разработчик
"Просто если работодатель твёрдо решил не платить за тестовое, которое ему не понравилось, не взирая на ваши комментарии, это его право и после отказа в общий чат писать, что они мошенники - очень непрофессионально",0
Нет я имею ввиду гибкие методологии вообще и в целом.,0
"#вакансия #php #go #docker #работа  #job #backend #Composer #Yii2 #MySQL #postgre #postgresql #Laravel #Lumen #bash #nginx #git #remote #middle

🐘PHP Developer
Удаленная работа/ очень гибкий график
Компания: контакты через агентство Smart Hiring Pro
80–120к.
  
Ищем back-end разработчика в крупный проект подарочных сертификатов и подарочных карт.

🔹Обязанности:
- разработка и развитие микросервисов платформы компании;
- разработка новых компонентов и доработка существующих, развитие интеграций c другими платформами и web-проектами.

🔹Требования:
- опыт от 3-х лет;
- PHP, Composer, Yii2, MySQL;
- работа через таск трекер, опыт использования git;
- опыт использования Docker для Dev и Production окружений;

🔹Плюсами будут:
- знание UNIX на уровне пользователя, опыт работы с bash, nginx;
- Laravel/Lumen.

🔹Условия:
- При желании можно в офис в Москве;
- Гражданство и местонахождения не имеет значение;
- ТД или самозанятость;
- Быстрый процессы найма. 

💌📞Все вопросы и предложения направлять:
@Ost_pavel 
ostroumov.pa@smarthiring.pro",PHP-разработчик
"ИТ-рекрутер (стажировка)
в Ozon.
Москва/Remote.
Описание вакансии.
Откликаться на GeekJob.ru",IT-рекрутер
"Менеджер по продукту
в CloudPayments — платежный сервис, который предлагает современный интернет-эквайринг без бюрократии.
Москва.
Ищет Дмитрий Спиридонов, его пост https://is.gd/8Uf867
Откликаться на hr@cloudpayments.ru
#product #вакансия #москва",Product-менеджер
"·3·

В Ozon Education требуется преподаватель-методист по Frontend-разработке 

Важно иметь глубокие знания HTML/CSS и Java Script, опыт разработки SPA приложений (фреймворк Vue.js).

— Мы в процессе запуска курса по Frontend-разработке, поэтому ищем опытного человека, который может составить программу курса, писать и ревьюрить материалы занятий, помогать студентам. 

Опыт разработки курса с нуля необязателен, главное сильные технические навыки и желание делиться своими знаниями с другими. 

Детали: hh.ru/vacancy/44838525

Контакт: kseniazueva040391@gmail.com",VUE-разработчик
"Android/iOS Developer Team Lead
в Agima — digital-продакшн полного цикла. Один из лидеров в сфере веб-разработки и мобильной разработки по версии Тэглайн и Ruward.
190K-230K, Москва, помощь с переездом.
Описание вакансии https://is.gd/6jxq82
Откликаться на GeekJob.ru
#mobiledeveloper #developer #teamlead #android #androiddev #kotlin #ios #iosdev #swift #вакансия #москва",Mobile-разработчик
"System Analyst
в Maps.me — бесплатное приложение для мобильных устройств на основе свободной географической карты OpenStreetMap. Пользователям Maps.me доступно редактирование объектов на картах OpenStreetMap прямо из приложения.
Удаленная работа.
Описание вакансии на GeekJob.ru

Больше вакансий для диджитал-аналитиков:
Telegram @foranalysts
Facebook
LinkedIn",Системный аналитик
"#Swift #iOS  #msk
Телекоммуникационная Компания

Обязанности:
Разработка и проектирование мобильных приложений; Контроль кода, архитектуры в проектах, рефакторинг

Требования:
Опыт разработки под iOS от 2 лет.
Опыт разработки многопоточных приложений.
Знание ООП и паттернов проектирования.
Опыт проектирования архитектуры приложения с нуля.

• Москва
• до 200 000

Контакты:
Телеграмм @ya_galinka",iOS-разработчик
"• Разработчик Python в области ИИ в Fitman. hr bureau, Москва",Deep Learning Engineer
"#вакансия #CapacityManager #PerformanceEngineer #Performance #Россия
🔺Должность: менеджер по производительности
🔺Компания: Альфа-Банк 🅰
🔺Формат работы: удаленно или офис
🔺З.п.: 150 000 - 250 000
Всем привет!
📍На различные интересные проекты Банка ищем менеджера по производительности.
📍Основной стек используемых технологий - Java, docker-контейнеры, СУБД ELK, Mongo, отдельно часть данных хранится в СУБД Oracle.
📍Задачи:
➖Контроль производительности по системам в рамках своего бизнес-направления
➖Контроль методологии и качества нагрузочных тестов
➖Участие в процессе управления мощностями и нагрузочных тестированиях
➖Развитие мониторинга производительности
➖Планирование нагрузки на систему и мероприятий по повышению производительности
📍Наши пожелания:
➖Хорошее понимание архитектуры бизнес-систем
➖Экспертиза по средствам диагностики проблем производительности (Network, HW, SW, OS, СУБД, сервера приложения, java, .net)
➖Опыт диагностики и оптимизации Java-приложений, СУБД (Oracle - в приоритете или MS SQL)
➖Понимание методологии нагрузочного тестирования (опыт проведения НТ, знание инструментов HPE Performance Center, LoadRunner - будет плюсом)
➖Опыт диагностики, мониторинга и оптимизации приложений в Docker - приветствуется
➖Навыки в части администрирования / разработки приложений и серверов (Unix, Windows)
📍Мы предлагаем:
➖Стабильный прозрачный доход + квартальные премии
➖ДМС, стоматология
➖Гибкое начало дня
➖Удаленный формат работы
☎ @jane_hr (Женя)
Eshakhray@alfabank.ru",non-IT
"#полнаязанятость #удаленка #вакансия #frontend #react 

⚙️FRONTEND DEVELOPER (REACT)⚙️

Зп вилка: 220.000-230.000 на руки

Компания: АНКОР (в штат М.Видео)

В крупную российскую компанию - лидер на рынке бытовой техники требуется Frontend developer (react).

Проект: разработка приложений для единой системы управления ценами/продажами. Инструменты используются менеджерами для установки цен, заведения промо-акций и управления ассортиментом в компании.

👨‍💻Обязанности:
 • Отображение аналитических данных в графиках и таблицах;
 • Формы создания / редактирования;
 • Разработка таблиц с расширенным функционалом;
 • Хранение данных (indexedDB);
 • Разработка графических интерфейсов;
 • Анализ ошибок в работе приложения, организация их устранения;
 • Осуществлять подготовку и согласование с бизнес-заказчиком функциональных спецификаций;
 • Оформление технической документации по проектным решениям и доработкам системы, поддержание документации в актуальном состоянии;
 • Обучение ключевых пользователей по возможностям системы, по новым функциям;
 • Проведение обучения для новых сотрудников группы и активное участие в их адаптации.

✅Требования:
 • Опыт разработки frontend от 2 лет
 • Опыт работы с react от 1,5 лет
 • Опыт создания сложных интерактивных графических интерфейсов.
 • Опыт создания реактивных интерфейсов.
 • Высокий уровень владения JavaScript;
 • Опыт разработки SPA приложений;
 • Большой опыт работы с инструментами ReactJS/React Native;
 • Опыт разработки приложений с использованием REST API, WebSockets;
 • Опыт работы с инструментами сборки Webpack;
 • Хороший навык верстки html/css, понимание методологии БЭМ;
 • Умение работы в Unix-окружении;
 • Понимание принципов тестирования программных продуктов.
 • Знание популярных методологий цикла релизов. 

➕Будет плюсом:
 • Опыт работы с canvas.

🎗Условия:
 • Полностью удаленная работа;
 • Гибкое начало дня;
 • ДМС;
 • Официальное трудоустройство;

📥 CV и вопросы ———-> @northborker",React-разработчик
"QA Lead
в Инфосистемы Джет — одна из 10 крупнейших ИТ-компаний в России и СНГ.
Москва.
Описание вакансии.
Откликаться на GeekJob.ru",QA-Инженер
"#вакансия #Java #разработка  #Java_разработчик #Банк_Открытие
Локация: #Москва 
Режим работы: гибкий офис 50/50%.
З\п: 250 000-350 000 рублей 
Обязанности:
• Участие в командной разработке ДБО для банка «Открытие»;
• Развитие финансовых сервисов для клиентов;
• Формирование технологических стандартов реализации ПО;
• Контроль качества работы сотрудников.
Требования:
• Уверенное знание концепций ООП, функционального программирования;
• Хорошее знание Java SE, опыт работы с Java 8S;
• Groovy, Kotlin - как плюс;
• Опыт работы с RxJava;
• Опыт работы со Spring/Spring Boot/Cloud;
• Опыт работы: JMS, Hibernate, Hazelcast, PostgreSQL;
• Микросервисная архитектура; опыт разработки REST/SOAP API;
• Знание реляционной модели работы с данными;
• Опыт работы с нереляционными моделями – как плюс;
• Опыт написания скриптов сборки: Gradle/Jenkins/JenkinsPipeline; хорошее знание GIT;
• Уверенная работа с *nix OS.
Мы предлагаем вам:
• Разнообразный социальный пакет: ДМС, страхование жизни, страхование для выезжающих за границу, льготные условия приобретения банковских продуктов, скидки в фитнес-клубах и в компаниях-партнерах;
• Ст.метро Динамо (Работа в офисе и удаленно 50\50%).
Резюме в личку @Irinaorlova7 или на почту sb96sb@gmail.com",Java-разработчик
Не как,0
"Product Owner
в Додо Пицца, на мобильное приложение для курьеров.
Москва или удаленная работа.
Ищет Дмитрий Павлов, его пост.",Product Owner
"Ищем  #Laravel developer 
- формат работы: #удаленка  от 6ч до 8ч в день
- компания: qberry.com.ua
- зарплата от 10$\ч до 15$\ч (Мы даем тестовое задание, которое определяет вашу  ставку. Тестовое задание не зависимое от наших проектов, но оно оплачивается если Вы нам подходите, то есть оплата входит в последующие задачи)

Наш back-end стек: Laravel, docker, mysql, redis, nginx/caddy, REST API.
Наш front-end стек: html (sometimes pug), css (scss), js (es6/babel), jquery, vue / nuxt, REST API.

Мы ожидаем от Вас:
- от 18 лет
- опыт работы с php не менее 2 лет
- опыт работы с Laravel не менее 1 года
- опыт работы в команде используя git
- опыт создания REST JSON API
- опыт работы с внешними API (в т.ч. не имеющими библиотек для лары)
- базовый опыт работы с очередями (Laravel horizon желательно) и кешем (redis)
- умение и желание разбираться в чужом коде
- умение писать простой и понятный код, грамотно разделяя по компонентам/модулям/файлам
- умение быстро разбираться в новом при необходимости
- знание html/css/js/jquery на базовом уровне

Будет плюсом:
- понимание работы с docker/docker-compose
- опыт проектирования реляционных баз данных (mysql, грамотное разбиение на таблички, проставление индексов, понимание когда нужна нормализация или наоборот - денормализация)
- знание vue.js на базовом или выше уровне (осуществление мелких правок)

За тестовым обращайтесь: @QberryPM",PHP-разработчик
"#UX/UI #вакансия #fulltime #job #удаленка 

⚡️Мы – InterUp, динамично развивающийся IT-стартап в области EdTech, который ставит своей целью упростить взаимодействие студентов, университетов и корпораций. Создавая гибкую интерактивную среду обучения и нетворкинга, мы размываем границы между понятиями «саморазвитие», «карьера» и «игра».

На платформе InterUp можно:     
-💡создавать и развивать собственный стартап
-💡попасть на стажировку в корпорацию
-💡посещать мероприятия онлайн и офлайн
-💡прокачивать навыки
-💡общаться и находить единомышленников

Чтобы реализовать наши ближайшие замыслы (выход на общероссийский рынок, партнёрства с десятками университетов и компаний, более 100 000 студентов на платформе), нужен именно ты – перспективный и целеустремлённый 🔥 UX/UI-дизайнер 🔥

☑️ Твоей задачей будет:

1. Проектирование и реализация интерфейсов для обучения, игр, общения. Общая стилистика, кнопки, модальные окна, меню – всё в комплекте);
2. Построение User flows, анализ поведения пользователя;
3. Участие в обсуждениях по поводу новых разделов платформы – как сделать их максимально дружелюбными и изящными;
4. Связь с техотделом, донесение требований и нужд интерфейса до верстальщиков и разработчиков.  

🍀Мы надеемся, что ты:

1. Знаешь Figma, как свои пять пальцев;
2. Ориентируешься в паттернах пользовательского опыта;
3. Работал в сфере UX/UI больше года;
4. Можешь без труда похвастаться прошлыми проектами;
5. Предпочитаешь непринужденное общение в коллективе;
6. Умеешь проводить UX-тестирование;
7. Владеешь навыками создания векторной графики;

💡Причины пойти к нам:

1. Простор для творчества. Мы – стартап, а потому слушаем и принимаем любые по-настоящему крутые идеи и конструктивную критику.
2. Гибкая удалёнка. Неважно, когда и где ты работаешь, важен результат.
3. Инициатива поощряется! Включайся в существующие проекты или предлагай свои – и мы поддержим такое начинание.
4. Саморазвитие – это стандарт. На работе мы постоянно обмениваемся полезными книжками, рекомендуем курсы, организуем встречи со специалистами самых разных сфер.
 
Присылай нам своё резюме и портфолио на этот телеграмм-аккаунт или на почту hr@interup.net ⚡️

Ждём тебя!
 ",UX/UI-дизайнер
"Head of Marketing
в Хантфлоу — лидирующая CRM для рекрутинга в СНГ.
Москва.
Описание вакансии.
Откликаться на GeekJob.ru",non-IT
